lr,hidden_dim1,hidden_dim2,weight_decay,activation,best_val_acc,elapsed,weight_path
0.05,2048,512,0.001,relu,0.6817283950617284,587.0,search_weights/model_lr0.05_h2048-512_wd0.001_relu.npz
0.05,2048,256,0.0005,relu,0.6812345679012346,0,search_weights/model_lr0.05_h2048-256_wd0.0005_relu.npz
0.05,2048,1024,0.0005,relu,0.6812345679012346,607.8,search_weights/model_lr0.05_h2048-1024_wd0.0005_relu.npz
0.05,2048,256,0.001,relu,0.6780246913580247,0,search_weights/model_lr0.05_h2048-256_wd0.001_relu.npz
0.05,2048,512,0.0,relu,0.6775308641975308,0,search_weights/model_lr0.05_h2048-512_wd0.0_relu.npz
0.05,2048,256,0.0,relu,0.6762962962962963,0,search_weights/model_lr0.05_h2048-256_wd0.0_relu.npz
0.05,2048,1024,0.001,relu,0.6750617283950617,604.6,search_weights/model_lr0.05_h2048-1024_wd0.001_relu.npz
0.05,2048,1024,0.0,relu,0.674320987654321,520.5,search_weights/model_lr0.05_h2048-1024_wd0.0_relu.npz
0.05,1024,1024,0.001,relu,0.6720987654320988,0,search_weights/model_lr0.05_h1024-1024_wd0.001_relu.npz
0.05,1024,256,0.001,relu,0.671604938271605,0,search_weights/model_lr0.05_h1024-256_wd0.001_relu.npz
0.01,2048,512,0.001,relu,0.6706172839506173,580.2,search_weights/model_lr0.01_h2048-512_wd0.001_relu.npz
0.05,1024,512,0.0,relu,0.6696296296296296,0,search_weights/model_lr0.05_h1024-512_wd0.0_relu.npz
0.05,1024,1024,0.0005,relu,0.668395061728395,0,search_weights/model_lr0.05_h1024-1024_wd0.0005_relu.npz
0.01,1024,1024,0.0005,relu,0.6681481481481482,282.8,search_weights/model_lr0.01_h1024-1024_wd0.0005_relu.npz
0.05,1024,512,0.0005,relu,0.6679012345679012,0,search_weights/model_lr0.05_h1024-512_wd0.0005_relu.npz
0.05,1024,256,0.0,relu,0.6666666666666666,0,search_weights/model_lr0.05_h1024-256_wd0.0_relu.npz
0.01,2048,1024,0.0,relu,0.665679012345679,509.6,search_weights/model_lr0.01_h2048-1024_wd0.0_relu.npz
0.01,2048,1024,0.001,relu,0.665679012345679,600.9,search_weights/model_lr0.01_h2048-1024_wd0.001_relu.npz
0.01,2048,256,0.001,relu,0.6654320987654321,558.9,search_weights/model_lr0.01_h2048-256_wd0.001_relu.npz
0.01,1024,1024,0.0,relu,0.6649382716049382,249.1,search_weights/model_lr0.01_h1024-1024_wd0.0_relu.npz
0.01,1024,1024,0.001,relu,0.6649382716049382,286.3,search_weights/model_lr0.01_h1024-1024_wd0.001_relu.npz
0.01,2048,512,0.0005,relu,0.6649382716049382,573.2,search_weights/model_lr0.01_h2048-512_wd0.0005_relu.npz
0.01,2048,1024,0.0005,relu,0.6641975308641975,603.6,search_weights/model_lr0.01_h2048-1024_wd0.0005_relu.npz
0.05,1024,1024,0.0,relu,0.6632098765432098,0,search_weights/model_lr0.05_h1024-1024_wd0.0_relu.npz
